Name,Score,Genres,Synopsis,Episodes,Aired,Status,Rating
Gun-dou Musashi,5.45,"Adventure, Fantasy","The war over control of a unified Japan, the Sengoku Era, is over and the Toyotomi army has won. Toyotomi has allowed his rival, Tokugawa, to live but since that final battle an evil ayakashi named Yasha reveals to Tokugawa that history says that he should have won the war instead of Toyotomi. Tokugawa agrees to the evil ayakashi power Yasha offers him, and the only person who can stop Tokugawa from ruling Japan and killing Princess Kaguya, who is the link to this alternate present, is Musashi Miyamoto, a young and brash man who follows the way of ""Gun-do"", which mixes together swordfighting with gunplay.

(Source: ANN)",26.0,"Apr 9, 2006 to Oct 8, 2006",Finished Airing,PG-13 - Teens 13 or older
NHK ni Youkoso!,8.31,"Comedy, Drama, Romance","Twenty-two-year-old college dropout Tatsuhiro Satou has been a hikikomori for almost four years now. In his isolation, he has come to believe in many obscure conspiracy theories, but there is one in particular which he holds unshakable faith in: the theory that the evil conspirator behind his shut-in NEET (Not in Employment, Education or Training) status is the Nihon Hikikomori Kyokai (NHK)—an evil and secret organization dedicated to fostering the spread of hikikomori culture.

NHK ni Youkoso! is a psychological dramedy that follows Tatsuhiro as he strives to escape from the NHK's wicked machinations and the disease of self-wrought isolation, while struggling to even just leave his apartment and find a job. His unexpected encounter with the mysterious Misaki Nakahara might signal a reversal of fortune for Tatsuhiro, but with this meeting comes the inevitable cost of having to face his greatest fear—society.",24.0,"Jul 10, 2006 to Dec 18, 2006",Finished Airing,R+ - Mild Nudity
Oban Star-Racers,7.5,"Action, Adventure, Sci-Fi","Eva's birthday has just passed, and she hasn't heard from her father. Despising the Boarding School she attends, she escapes using her Rocket Bike that she just completed. Taking on the alias ""Molly,"" Eva sneaks with the Earth team to Alwas for the Great Race because the winner of the race gets any one wish granted. Little does the Earth Team know what danger awaits them...",26.0,"Sep 23, 2006 to Mar 25, 2007",Finished Airing,PG - Children
Binbou Shimai Monogatari,6.86,"Comedy, Drama, Slice of Life","Without the presence of both their deceased mother and their debt-ridden father, sisters Kyou and Asu Yamada are forced to fend for themselves. Thankfully, they at least have a roof over their heads: a small room in an old apartment spacious enough to fit both of them. However, to make ends meet, the older sister Kyou strives to juggle various part-time jobs—all while making sure that she and her younger sister can continue studying.

Despite these hardships, they are not alone. Seemingly blessed with good and kind people around them, Kyou and Asu's lives are far from miserable. Above all else, the two sisters share a precious bond that, no matter what pain, trials, or quarrels may come their way, will always remain unbreakable.",10.0,"Jun 30, 2006 to Sep 15, 2006",Finished Airing,G - All Ages
Tonagura!,6.69,"Comedy, Drama, Romance, Ecchi","Kazuki has been awaiting 10 years for the day when her neighbours moved back to their old house. She has a crush on Yuuji, whom she considers as her first love but to whom she never managed to express her feelings for him before they moved out. Yuuji often comes over to play with Kazuki, Kazuki's older sister Hatsune and Yuuji's sister Marie when they were kids. Her ideal depiction of Yuuji was soon shattered when he turned out more than she had expected, him acting all ecchi during their reunion. With their parents off in South America, both families must learn to live with each other and rekindle the childhood feelings they shared together. Things get even more crazy as they attend the same school.

(Source: ANN)",13.0,"Jul 9, 2006 to Oct 1, 2006",Finished Airing,PG-13 - Teens 13 or older
Chocotto Sister,6.75,"Comedy, Drama, Romance, Ecchi","Haruma Kawagoe is an only child. A long time ago, at Christmas time, his mother miscarried the child that was to have been his baby sister. That night, young Haruma knelt down and offered up an earnest prayer: ""Please make my mother well again, and please give me a little sister."" Years have passed, and Haruma has nearly forgotten his prayer. But Santa hasn't.... one Christmas, when Haruma is least expecting it, he gets an unusual present - his sister.

(Source: ANN)",24.0,"Jul 12, 2006 to Dec 20, 2006",Finished Airing,R+ - Mild Nudity
Demashita! Powerpuff Girls Z,6.42,"Action, Comedy, Sci-Fi, Slice of Life","Based on the American cartoon, ""The Powerpuff Girls."" 

Professor Utonium and his son Ken are studying the strange Chemical X. When a mochi cake falls into the formula, it changes into Chemical Z. Ken fires a ray of Chemical Z at a glacier in Tokyo Bay, however that causes strange black and white lights to scatter. The black lights turn its victims into monsters, with emphasis on a black light hitting a zoo monkey and transforming him into Mojo Jojo.

The white lights, however, aim at three normal girls, Momoko, Miyako, and Kaoru. This gives them the power to transform into superheroes, the Powerpuff Girls Z!",52.0,"Jul 1, 2006 to Jun 30, 2007",Finished Airing,PG - Children
Bokura ga Ita,7.25,"Drama, Romance","Going into her first year of high school, Nanami Takahashi is filled with the hope of making many new friends. After meeting the shy Yuri Yamamoto, she hears about a popular boy in their class: Yano Motoharu. Yuri cares little for Yano because of his past relationship with her older sister Nana, and at first, Nanami doesn't like his attitude either. However, Nanami soon begins to warm up to Yano and takes a liking to him. The two spend more of their time together and eventually decide to start dating. But their love is not without challenges; Yano has trouble opening up to Nanami, since his first girlfriend, Nana, died in a car accident the year before, and she had been with one of her ex-boyfriends at the time.

Finding themselves living in the shadow of Yano's relationship with Nana, Nanami and Yano struggle to keep their relationship afloat amid misunderstandings and heartache with the certainty of their love for each other.",26.0,"Jul 4, 2006 to Dec 26, 2006",Finished Airing,PG-13 - Teens 13 or older
Aquarian Age: Sign for Evolution,6.05,"Action, Adventure, Fantasy, Romance, Sci-Fi, Supernatural","Five supernatural factions have been fighting against each other for who knows how many centuries, with the beginning of Aquarian Age always in mind. Kyouta, soon begins to see visions of mystical girls fighting, except they do exist. Soon he and his girlfriend Yoriko become involved and the battle for Earth and Aquarian Age lies in their hands. 

(Source: ANN)",13.0,"Jan 11, 2002 to Mar 29, 2002",Finished Airing,PG-13 - Teens 13 or older
Seihou Tenshi Angel Links,5.92,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi","Li Meifon is the head of a free, no expenses paid protection/security agency for escorting ships across outer space. Though only 16, she posesses great skill and leadership qualities while commanding her crew aboard their ship, the ""Angel Links."" However, some unpleasant memories begin to trouble her and she starts questioning her own past and reason for existence. Join Li Meifon and the rest of the Angel Links crew on their adventures through the Oracion star system as they battle pirates, government organizations, and a Tao master, all while finally uncovering Meifon's dark and mysterious past.",13.0,"Apr 7, 1999 to Jun 30, 1999",Finished Airing,PG-13 - Teens 13 or older
Innocent Venus,6.78,"Adventure, Drama, Sci-Fi","In the year 2010 AD, Hyper Hurricanes born concurrently all over the world caused severe damage. Five billion people lost their lives, decreasing the world's population to 3 billion. Existing economies and military were wiped out. Countries were frozen under solid ice, plains sank beneath seas, the world was changed dramatically.

Human civilization enters a chaotic era. Poverty flourished outside of these economic zones and slums were widespread. The ruling class called themselves Logos and maintained their position by force of arms. They call the poor Revenus, who are exiled to live outside the special economic areas.

Time has passed since then. Katsuragi Jo and Tsurasawa Jin, escape from Phantom, a force organized to watch Revenus and to suppress renegade elements of the Logos, taking with them a mysterious girl, Nobuto Sana. There are many who are interested in her, all with their own reasons.",12.0,"Jul 27, 2006 to Oct 26, 2006",Finished Airing,PG-13 - Teens 13 or older
Saber Marionette J to X,7.28,"Action, Adventure, Comedy, Sci-Fi","Taking place mere months after the Saber Marionette J OVA series, this newest installment in the Saber Marionette line follows the continuing adventures of Otaru and his clan of selfless, obsessive marionette girls. This time, the evil Faust is back, and again toying with Marionette technology that was never meant to be explored. The Saber Dolls are back, and torn between their newfound love for Otaru and their undying loyalty to Faust; Will Otaru, Lime, Cherry and Bloodberry be able to stop Faust again, or are they all headed for the scrap heap?

(Source: AniDB)",26.0,"Oct 6, 1998 to Mar 30, 1999",Finished Airing,PG-13 - Teens 13 or older
